region,year,text
Canada,2025-06,Unique opportunity to work in a challenging Arctic environment.
Australia,2025-09,Expect you to deliver.
Canada,2025-06,Fly-in-fly-out lifestyle can be tough on personal life and family.
Canada,2025-06,Harsh climate and isolation take a toll over time.
USA,2025-09,Salary and benefits and healthy culture that respects individuals.
Australia,2025-09,"The hard work pays off with great pay and benefits, loads of quality training. Lots of great opportunities."
Australia,2025-04,High pressure and standardized working environment.
Australia,2025-04,"Work can be dull with lack of accountability, frustrating for high performers."
USA,2025-05,"Good pay, interesting work, good work-life balance."
Australia,2025-04,Good overall salary and benefits conditions.
UK,2025-05,Cyclical organizational changes (latest one in 2025).
Singapore,2025-03,"Hybrid work, flexibility, generally good people."
UK,2025-06,"Colleagues, healthy culture, and good benefits."
Singapore,2025-08,Very good benefits and welfare.
USA,2025-04,"Good pay, benefits, and time off."
USA,2025-08,"Nice people, decent work resources, completely committed to safety."
Australia,2025-09,Great people and challenging work.
Australia,2025-09,Value the skills and knowledge of the hard workers more.
Australia,2025-04,Good working environment and supportive management.
Canada,2025-06,Excellent compensation and benefits for remote work.
USA,2025-04,"The management is subpar; compared to how things were run years ago, it’s gone downhill in the last year."
Canada,2025-04,People can be overwhelming.
UK,2025-09,"Generous pay and benefits, lovely offices and people."
Australia,2025-09,"Some good, decent human employees."
Australia,2025-05,"Great people, great talents, decent leadership, improving site culture."
USA,2025-05,"Difficult business environment, frequent layoffs."
Australia,2025-04,"Very siloed, poor HR culture, no development paths."
Singapore,2025-08,"Excellent team and collaborative culture, company health benefits excellent."
Australia,2025-09,"Very bad culture, pack mentality, racist."
Canada,2025-06,Strong safety culture and training support.
USA,2025-05,When they have big issues it usually results in layoffs.
South Africa,2025-03,"Fantastic environment, great for learning and development, good compensation for high performers, strong leadership."
USA,2025-08,"Had some gender discrimination issues in the past, seem to be working on it, but room for improvement remains."
South Africa,2025-06,"Frequent plant leadership rotations, safety concerns during community strikes."
Canada,2025-06,Camp amenities were generally good for the location.
Australia,2025-05,Some planning teams have arrogant people.
Australia,2025-10,"If you get a great team, work is fun and engaging."
Canada,2025-04,"Time away from home, long hours."
Australia,2025-05,Some regional sites have toxic culture but it’s getting cleaned up.
USA,2025-05,"Have to work with difficult characters and many safety precautions, which can make work slow."
Singapore,2025-03,Benefit and WFH culture is good.
Australia,2025-09,Restructure is challenging. Takes a few years to get the great pay.
Australia,2025-09,"High salary, unlimited sick leave."
Canada,2025-04,Pat leave and work culture.
Australia,2025-09,Sometimes contractors are quite patchy to work with.
Canada,2025-06,Diverse and skilled coworkers who are team-oriented.
USA,2025-04,"Irregular hours, bad management, hardly existent HR, favoritism."
Australia,2025-09,Great company and culture with good benefits.
USA,2025-09,"Career advancement can be slow, management communication is often inconsistent, and layoffs tied to market cycles create instability."
Australia,2025-10,"Highly siloed teams, especially in group functions and IS&T."
Australia,2025-05,"Career progression issues, environmental impacts, long hours."
USA,2025-05,They offer decent work-life balance.
UK,2025-04,Good company to work for.
USA,2025-05,"Can have good work-life balance, great salary and benefits, can learn a lot."
Canada,2025-07,"Best company to work for, good benefits, good work-life balance."
Australia,2025-05,Keep going. Don’t allow corruption and harassment.
UK,2025-05,Good office with smart people.
Canada,2025-09,"Really nice and good people, positive culture focused around company values."
South Africa,2024-08,"Toxic culture from top to lower management, poor leadership environment."
Singapore,2025-03,"Increment as per market, not easy to get promoted."
Australia,2025-04,"Great flexibility, good people, good benefits."
Singapore,2025-08,"Quite political, outdated processes and a lot of reporting."
Canada,2025-06,Salary and environment depending on product group.
Australia,2025-04,"Unsafe working standards, poor equipment, psychosocial hazards."
Canada,2025-06,"Progression issues, toxic leadership, poor promotion system."
Canada,2025-09,Remote location and aged facility.
South Africa,2024-08,They pay extremely well; difficult to find a better offer if you ever want to leave.
Canada,2025-04,"Great team, ability to cross-train in different disciplines, and good schedule."
Australia,2025-04,"Rio are people-first, supportive and considerate towards employees."
Canada,2025-09,Diverse opportunities in a large company.
Singapore,2025-08,Long working hours and lots of office politics.
UK,2025-01,"Managers are everything; if they are good, you’re fine, otherwise not. Skip manager sessions don’t exist."
Canada,2025-09,Not many opportunities for career growth.
Australia,2025-09,Toxicity starts from the top.
South Africa,2025-06,"Good benefits, growth opportunities, training and study opportunities."
Canada,2025-09,Overly visible DEI focus and lots of politics.
Canada,2025-07,Location is a bit remote and small town.
UK,2025-09,Working hours can be unsociable due to timezones.
Australia,2025-05,"Good pay, good benefits, even time roster."
Australia,2025-09,Good work-life balance and great culture.
USA,2025-09,It can be easy to get lost in a big organization.
Singapore,2025-04,Deadlines can be tight and lots of organisational changes.
Australia,2025-09,"Great salary, great network, interesting area to live and work."
USA,2025-09,"Working at Rio Tinto Kennecott comes with strong pay, excellent benefits, and a well-established safety culture. The work is technically engaging, and the company has a solid reputation, making it an attractive employer."
Australia,2025-09,Quiet a culture shock if not familiar with far north Queensland.
UK,2025-01,Stable company with relatively good pension and perks.
Canada,2025-06,Transition planning post-closure phase was not always clear.
UK,2025-04,Lots of change and restructuring.
UK,2025-06,"Difficult to promote, early/late calls."
Australia,2025-09,"Terrible bullying environment, extremely overworked, no toilet breaks ever, insane management."
Canada,2025-09,Great people and opportunities to learn.
Canada,2025-06,Limited opportunities for internal advancement or career development (Mine closure).
USA,2025-04,Benefits and pay are competitive.
South Africa,2025-03,Change takes time and a lot of effort.
Singapore,2025-04,"Great culture and people, good pay."
USA,2025-03,"Definitely has job security and the opportunity to learn new skills and get certified."
USA,2025-01,"Constant threat of layoffs due to redundancy. Most tenured employees are the first to go."
Australia,2025-04,"Very siloed and poor culture in HR and no development paths."
Australia,2025-04,"Rio Tinto pastoral stations conditions on the ground were nowhere near safe working standards. Unsafe work conditions and equipment and many Psychosocial hazards."
Australia,2025-04,"Fantastic benefits with generous pay, generally good living conditions at camp, and plenty of opportunities for both upward and lateral career mobility."